Data point,Step,Step time,Voltage,Current,Power,Temperature,Capacity,Energy,Total time,End status
1,1,00:00:10,3.2868,0,0,26.3,0,0,00:00:10,0
2,1,00:00:20,3.2868,0,0,26.3,0,0,00:00:20,0
3,1,00:00:30,3.2868,0,0,26.4,0,0,00:00:30,0
4,1,00:00:40,3.2868,0,0,26.4,0,0,00:00:40,0
5,1,00:00:50,3.2868,0,0,26.4,0,0,00:00:50,0
6,1,00:01:00,3.2868,0,0,26.4,0,0,00:01:00,Time
7,2,00:00:10,3.2956,0.746,2.5,26.3,1.95,0.0064174,00:01:10,0
8,2,00:00:20,3.2987,0.746,2.5,26.4,3.94,0.01298,00:01:20,0
9,2,00:00:30,3.3016,0.747,2.5,26.5,6.09,0.0200967,00:01:30,0
10,2,00:00:40,3.3038,0.747,2.5,26.5,8.09,0.0266749,00:01:40,0
11,2,00:00:50,3.3059,0.747,2.5,26.6,10.24,0.0338031,00:01:50,0
12,2,00:01:00,3.3079,0.747,2.5,26.6,12.24,0.0403928,00:02:00,0
13,2,00:01:10,3.3097,0.747,2.5,26.6,14.35,0.0473914,00:02:10,0
14,2,00:01:20,3.3115,0.747,2.5,26.6,16.38,0.0541235,00:02:20,0
15,2,00:01:30,3.3133,0.747,2.5,26.6,18.54,0.0612683,00:02:30,0
16,2,00:01:40,3.3146,0.747,2.5,26.6,20.49,0.0677309,00:02:40,0
17,2,00:01:50,3.3164,0.747,2.5,26.6,22.65,0.0748887,00:02:50,0
18,2,00:02:00,3.3178,0.747,2.5,26.6,24.77,0.0819054,00:03:00,0
19,2,00:02:10,3.3191,0.747,2.5,26.6,26.76,0.0885246,00:03:10,0
20,2,00:02:20,3.3203,0.747,2.5,26.6,28.92,0.0956856,00:03:20,0
21,2,00:02:30,3.3215,0.747,2.5,26.6,30.91,0.1023002,00:03:30,0
22,2,00:02:40,3.3225,0.747,2.5,26.6,32.94,0.1090495,00:03:40,0
23,2,00:02:50,3.3238,0.747,2.5,26.5,35.14,0.1163553,00:03:50,0
24,2,00:03:00,3.3247,0.747,2.5,26.5,37.09,0.1228367,00:04:00,0
25,2,00:03:10,3.3255,0.747,2.5,26.5,39.25,0.1300105,00:04:10,0
26,2,00:03:20,3.3262,0.747,2.5,26.5,41.24,0.1366384,00:04:20,0
27,2,00:03:30,3.3269,0.747,2.5,26.5,43.36,0.14368,00:04:30,0
28,2,00:03:40,3.3276,0.747,2.5,26.5,45.51,0.1508593,00:04:40,0
29,2,00:03:50,3.328,0.747,2.5,26.5,47.51,0.1574901,00:04:50,0
30,2,00:04:00,3.3286,0.747,2.5,26.5,49.66,0.1646691,00:05:00,0
31,2,00:04:10,3.329,0.747,2.5,26.5,51.7,0.1714331,00:05:10,0
32,2,00:04:20,3.3294,0.747,2.5,26.5,53.73,0.1782085,00:05:20,0
33,2,00:04:30,3.3298,0.747,2.5,26.5,55.85,0.1852524,00:05:30,0
34,2,00:04:40,3.3301,0.747,2.5,26.5,57.96,0.1923037,00:05:40,0
35,2,00:04:50,3.3304,0.748,2.5,26.5,59.96,0.1989404,00:05:50,0
36,2,00:05:00,3.3306,0.747,2.5,26.5,61.8,0.2050803,00:06:00,Time
37,3,00:00:10,3.3393,1.496,5,26.4,3.33,0.0110984,00:06:10,0
38,3,00:00:20,3.342,1.496,5,26.4,7.65,0.0255358,00:06:20,0
39,3,00:00:30,3.3432,1.496,5,26.4,11.72,0.0391596,00:06:30,0
40,3,00:00:40,3.3441,1.496,5,26.4,15.96,0.0533216,00:06:40,0
41,3,00:00:50,3.3447,1.496,5,26.4,19.95,0.0666663,00:06:50,0
42,3,00:01:00,3.3451,1.496,5,26.4,24.35,0.0814031,00:07:00,0
43,3,00:01:10,3.3455,1.496,5,26.4,28.35,0.0947575,00:07:10,0
44,3,00:01:20,3.3458,1.496,5,26.4,32.67,0.1092136,00:07:20,0
45,3,00:01:30,3.346,1.496,5,26.4,36.66,0.1225709,00:07:30,0
46,3,00:01:40,3.3463,1.496,5,26.4,40.98,0.1370279,00:07:40,0
47,3,00:01:50,3.3465,1.496,5,26.4,44.97,0.1503892,00:07:50,0
48,3,00:02:00,3.3466,1.496,5,26.4,49.21,0.1645714,00:08:00,0
49,3,00:02:10,3.3467,1.496,5,26.4,53.45,0.1787572,00:08:10,0
50,3,00:02:20,3.3469,1.496,5,26.3,57.44,0.1921186,00:08:20,0
51,3,00:02:30,3.3471,1.496,5,26.3,61.68,0.2063029,00:08:30,0
52,3,00:02:40,3.3472,1.496,5,26.3,65.92,0.2204945,00:08:40,0
53,3,00:02:50,3.3473,1.496,5,26.3,69.99,0.2341334,00:08:50,0
54,3,00:03:00,3.3474,1.496,5,26.3,74.23,0.2483256,00:09:00,0
55,3,00:03:10,3.3475,1.496,5,26.3,78.22,0.2616883,00:09:10,0
56,3,00:03:20,3.3477,1.496,5,26.3,82.55,0.2761561,00:09:20,0
57,3,00:03:30,3.3478,1.496,5,26.3,86.54,0.2895179,00:09:30,0
58,3,00:03:40,3.3479,1.496,5,26.3,90.78,0.3037067,00:09:40,0
59,3,00:03:50,3.3481,1.496,5,26.3,94.85,0.3173504,00:09:50,0
60,3,00:04:00,3.3482,1.496,5,26.3,99.09,0.3315403,00:10:00,0
61,3,00:04:10,3.3483,1.496,5,26.3,103.16,0.3451858,00:10:10,0
62,3,00:04:20,3.3484,1.496,5,26.3,107.49,0.3596543,00:10:20,0
63,3,00:04:30,3.3485,1.496,5,26.3,111.48,0.373033,00:10:30,0
64,3,00:04:40,3.3487,1.496,5,26.3,115.8,0.387504,00:10:40,0
65,3,00:04:50,3.3488,1.496,5,26.3,119.79,0.400868,00:10:50,0
66,3,00:05:00,3.3489,1.496,5,26.2,123.73,0.4140569,00:11:00,Time
67,4,00:00:10,3.3653,3.005,10.1,26.2,7.82,0.0263006,00:11:10,0
68,4,00:00:20,3.3685,3.005,10.1,26.2,16.5,0.055528,00:11:20,0
69,4,00:00:30,3.3698,3.005,10.1,26.2,25.02,0.0842163,00:11:30,0
70,4,00:00:40,3.3707,3.005,10.1,26.2,33.03,0.1112353,00:11:40,0
71,4,00:00:50,3.3713,3.005,10.1,26.2,41.71,0.1404915,00:11:50,0
72,4,00:01:00,3.3718,3.005,10.1,26.2,49.73,0.1675124,00:12:00,0
73,4,00:01:10,3.3723,3.005,10.1,26.2,58.24,0.1962253,00:12:10,0
74,4,00:01:20,3.3725,3.005,10.1,26.2,66.42,0.2238221,00:12:20,0
75,4,00:01:30,3.3729,3.005,10.1,26.2,74.95,0.2525876,00:12:30,0
76,4,00:01:40,3.3731,3.005,10.1,26.2,83.3,0.2807371,00:12:40,0
77,4,00:01:50,3.3734,3.005,10.1,26.2,91.31,0.30778,00:12:50,0
78,4,00:02:00,3.3736,3.005,10.1,26.2,99.83,0.3365014,00:13:00,0
79,4,00:02:10,3.3738,3.005,10.1,26.2,108.02,0.3641399,00:13:10,0
80,4,00:02:20,3.3741,3.005,10.1,26.2,116.37,0.39231,00:13:20,0
81,4,00:02:30,3.3744,3.005,10.1,26.2,125.05,0.4215939,00:13:30,0
82,4,00:02:40,3.3745,3.005,10.1,26.2,133.06,0.4486415,00:13:40,0
83,4,00:02:50,3.3749,3.005,10.1,26.2,141.41,0.4768081,00:13:50,0
84,4,00:03:00,3.3752,3.005,10.1,26.2,149.92,0.5055389,00:14:00,0
85,4,00:03:10,3.3754,3.005,10.1,26.2,158.27,0.5337126,00:14:10,0
86,4,00:03:20,3.3757,3.005,10.1,26.2,166.78,0.5624539,00:14:20,0
87,4,00:03:30,3.3759,3.005,10.1,26.2,174.8,0.5895248,00:14:30,0
88,4,00:03:40,3.3762,3.005,10.1,26.2,183.48,0.6188236,00:14:40,0
89,4,00:03:50,3.3765,3.005,10.1,26.2,191.5,0.6458893,00:14:50,0
90,4,00:04:00,3.3768,3.005,10.1,26.2,199.85,0.674091,00:15:00,0
91,4,00:04:10,3.377,3.005,10.1,26.2,208.53,0.7033902,00:15:10,0
92,4,00:04:20,3.3774,3.005,10.1,26.2,216.21,0.7293295,00:15:20,0
93,4,00:04:30,3.3777,3.005,10.1,26.2,224.9,0.7587037,00:15:30,0
94,4,00:04:40,3.378,3.005,10.1,26.2,233.58,0.7880048,00:15:40,0
95,4,00:04:50,3.3783,3.005,10.2,26.2,241.59,0.8150834,00:15:50,0
96,4,00:05:00,3.3786,3.005,10.2,26.2,249.11,0.8404575,00:16:00,Time
97,5,00:00:10,3.4238,7.492,25.7,26.2,16.23,0.0555061,00:16:10,0
98,5,00:00:20,3.4301,7.492,25.7,26.2,38.3,0.1311316,00:16:20,0
99,5,00:00:30,3.4328,7.492,25.7,26.2,58.69,0.2011351,00:16:30,0
100,5,00:00:40,3.435,7.492,25.7,26.2,79.93,0.274051,00:16:40,0
101,5,00:00:50,3.4368,7.492,25.7,26.2,99.91,0.3427208,00:16:50,0
102,5,00:01:00,3.4384,7.492,25.8,26.2,121.15,0.4157118,00:17:00,0
103,5,00:01:10,3.44,7.492,25.8,26.2,140.72,0.4830205,00:17:10,0
104,5,00:01:20,3.4414,7.492,25.8,26.2,162.37,0.5575153,00:17:20,0
105,5,00:01:30,3.4431,7.492,25.8,26.2,183.6,0.6306053,00:17:30,0
106,5,00:01:40,3.4444,7.492,25.8,26.3,203.61,0.6995274,00:17:40,0
107,5,00:01:50,3.4457,7.492,25.8,26.3,225.25,0.7740891,00:17:50,0
108,5,00:02:00,3.4468,7.492,25.8,26.3,245.25,0.8430104,00:18:00,0
109,5,00:02:10,3.4478,7.492,25.8,26.3,265.23,0.911867,00:18:10,0
110,5,00:02:20,3.4489,7.492,25.8,26.3,287.71,0.9893944,00:18:20,0
111,5,00:02:30,3.4496,7.492,25.8,26.3,307.7,1.0583361,00:18:30,0
112,5,00:02:40,3.4504,7.492,25.9,26.3,329.36,1.1330867,00:18:40,0
113,5,00:02:50,3.451,7.492,25.9,26.3,349.35,1.2020681,00:18:50,0
114,5,00:03:00,3.4516,7.492,25.9,26.3,370.6,1.2753921,00:19:00,0
115,5,00:03:10,3.452,7.492,25.9,26.3,391.41,1.3472356,00:19:10,0
116,5,00:03:20,3.4524,7.492,25.9,26.3,412.23,1.4191016,00:19:20,0
117,5,00:03:30,3.4527,7.492,25.9,26.3,432.21,1.4880887,00:19:30,0
118,5,00:03:40,3.453,7.492,25.9,26.4,453.87,1.562855,00:19:40,0
119,5,00:03:50,3.4533,7.492,25.9,26.4,475.09,1.6361585,00:19:50,0
120,5,00:04:00,3.4535,7.492,25.9,26.4,495.49,1.7065989,00:20:00,0
121,5,00:04:10,3.4537,7.492,25.9,26.4,515.9,1.7770829,00:20:10,0
122,5,00:04:20,3.4538,7.492,25.9,26.4,537.54,1.851817,00:20:20,0
123,5,00:04:30,3.454,7.492,25.9,26.4,557.53,1.9208615,00:20:30,0
124,5,00:04:40,3.4541,7.492,25.9,26.4,579.17,1.9956121,00:20:40,0
125,5,00:04:50,3.4542,7.492,25.9,26.4,599.16,2.0646727,00:20:50,0
126,5,00:05:00,3.4544,7.492,25.9,26.4,620.81,2.1394475,00:21:00,0
127,5,00:05:10,3.4545,7.492,25.9,26.4,640.38,2.2070408,00:21:10,0
128,5,00:05:20,3.4546,7.492,25.9,26.4,662.03,2.2818279,00:21:20,0
129,5,00:05:30,3.4547,7.492,25.9,26.4,683.26,2.3551707,00:21:30,0
130,5,00:05:40,3.4548,7.492,25.9,26.4,703.66,2.4256451,00:21:40,0
131,5,00:05:50,3.4549,7.492,25.9,26.4,724.89,2.4990039,00:21:50,0
132,5,00:06:00,3.455,7.492,25.9,26.4,744.88,2.5680821,00:22:00,0
133,5,00:06:10,3.4552,7.492,25.9,26.4,766.11,2.6414247,00:22:10,0
134,5,00:06:20,3.4553,7.492,25.9,26.4,786.93,2.7133496,00:22:20,0
135,5,00:06:30,3.4554,7.492,25.9,26.4,806.91,2.7824004,00:22:30,0
136,5,00:06:40,3.4555,7.492,25.9,26.4,828.56,2.8572013,00:22:40,0
137,5,00:06:50,3.4556,7.492,25.9,26.4,849.79,2.9305673,00:22:50,0
138,5,00:07:00,3.4558,7.492,25.9,26.4,869.79,2.9996872,00:23:00,0
139,5,00:07:10,3.4559,7.492,25.9,26.4,891.02,3.0730515,00:23:10,0
140,5,00:07:20,3.456,7.492,25.9,26.5,911,3.1421051,00:23:20,0
141,5,00:07:30,3.4562,7.492,25.9,26.5,932.65,3.2169385,00:23:30,0
142,5,00:07:40,3.4563,7.492,25.9,26.5,953.89,3.2903473,00:23:40,0
143,5,00:07:50,3.4565,7.492,25.9,26.5,973.88,3.3594408,00:23:50,0
144,5,00:08:00,3.4566,7.492,25.9,26.5,995.11,3.4327962,00:24:00,0
145,5,00:08:10,3.4568,7.492,25.9,26.5,1016.34,3.5061946,00:24:10,0
146,5,00:08:20,3.457,7.492,25.9,26.4,1037.15,3.5781379,00:24:20,0
147,5,00:08:30,3.4571,7.492,25.9,26.4,1056.72,3.6457932,00:24:30,0
148,5,00:08:40,3.4573,7.492,25.9,26.5,1078.37,3.7206368,00:24:40,0
149,5,00:08:50,3.4575,7.492,25.9,26.5,1099.6,3.794044,00:24:50,0
150,5,00:09:00,3.4576,7.492,25.9,26.5,1120,3.8645837,00:25:00,0
151,5,00:09:10,3.4579,7.492,25.9,26.5,1141.24,3.9380176,00:25:10,0
152,5,00:09:20,3.458,7.492,25.9,26.5,1161.23,4.0071521,00:25:20,0
153,5,00:09:30,3.4582,7.492,25.9,26.4,1182.46,4.0805426,00:25:30,0
154,5,00:09:40,3.4585,7.492,25.9,26.5,1203.69,4.153975,00:25:40,0
155,5,00:09:50,3.4586,7.492,25.9,26.5,1223.68,4.2231183,00:25:50,0
156,5,00:10:00,3.4589,7.492,25.9,26.5,1244.92,4.2965899,00:26:00,0
157,5,00:10:10,3.4591,7.492,25.9,26.5,1266.15,4.3700233,00:26:10,0
158,5,00:10:20,3.4593,7.492,25.9,26.5,1286.14,4.4391832,00:26:20,0
159,5,00:10:30,3.4595,7.492,25.9,26.5,1307.37,4.5126061,00:26:30,0
160,5,00:10:40,3.4598,7.492,25.9,26.5,1327.77,4.583189,00:26:40,0
161,5,00:10:50,3.4601,7.492,25.9,26.5,1349,4.6566482,00:26:50,0
162,5,00:11:00,3.4604,7.492,25.9,26.5,1369.41,4.7272696,00:27:00,0
163,5,00:11:10,3.4606,7.492,25.9,26.5,1389.38,4.7963886,00:27:10,0
164,5,00:11:20,3.4609,7.492,25.9,26.5,1410.63,4.8699141,00:27:20,0
165,5,00:11:30,3.4611,7.492,25.9,26.5,1432.27,4.9448028,00:27:30,0
166,5,00:11:40,3.4614,7.492,25.9,26.5,1452.26,5.0139904,00:27:40,0
167,5,00:11:50,3.4617,7.492,25.9,26.5,1473.9,5.0889192,00:27:50,0
168,5,00:12:00,3.4619,7.492,25.9,26.5,1493.89,5.158112,00:28:00,0
169,5,00:12:10,3.4623,7.492,25.9,26.5,1515.12,5.231606,00:28:10,0
170,5,00:12:20,3.4625,7.492,25.9,26.5,1535.94,5.3036904,00:28:20,0
171,5,00:12:30,3.4629,7.492,25.9,26.5,1555.92,5.3728857,00:28:30,0
172,5,00:12:40,3.4631,7.492,25.9,26.5,1577.57,5.4478493,00:28:40,0
173,5,00:12:50,3.4635,7.492,25.9,26.5,1598.81,5.5214319,00:28:50,0
174,5,00:13:00,3.4638,7.492,26,26.5,1618.81,5.5906711,00:29:00,0
175,5,00:13:10,3.4641,7.492,26,26.5,1640.03,5.6641965,00:29:10,0
176,5,00:13:20,3.4645,7.492,26,26.5,1661.27,5.7377725,00:29:20,0
177,5,00:13:30,3.4648,7.492,26,26.5,1681.26,5.8070359,00:29:30,0
178,5,00:13:40,3.4652,7.492,26,26.5,1702.48,5.8805685,00:29:40,0
179,5,00:13:50,3.4655,7.492,26,26.5,1722.89,5.951273,00:29:50,0
180,5,00:14:00,3.4659,7.492,26,26.5,1744.11,6.0248413,00:30:00,0
181,5,00:14:10,3.4662,7.492,26,26.5,1764.09,6.0940957,00:30:10,0
182,5,00:14:20,3.4666,7.492,26,26.5,1785.74,6.169137,00:30:20,0
183,5,00:14:30,3.467,7.492,26,26.5,1805.73,6.23842,00:30:30,0
184,5,00:14:40,3.4675,7.492,26,26.5,1826.97,6.3120737,00:30:40,0
185,5,00:14:50,3.4679,7.492,26,26.5,1847.37,6.3828077,00:30:50,0
186,5,00:15:00,3.4683,7.492,26,26.5,1868.61,6.4564819,00:31:00,0
187,5,00:15:10,3.4688,7.492,26,26.5,1890.25,6.5315428,00:31:10,0
188,5,00:15:20,3.4692,7.492,26,26.5,1910.24,6.6009083,00:31:20,0
189,5,00:15:30,3.4697,7.492,26,26.6,1931.47,6.6745424,00:31:30,0
190,5,00:15:40,3.4702,7.492,26,26.6,1952.7,6.7482176,00:31:40,0
191,5,00:15:50,3.4706,7.492,26,26.6,1972.69,6.8175945,00:31:50,0
192,5,00:16:00,3.4711,7.492,26,26.6,1994.34,6.8927355,00:32:00,0
193,5,00:16:10,3.4716,7.492,26,26.6,2014.33,6.9621158,00:32:10,0
194,5,00:16:20,3.4721,7.492,26,26.6,2035.56,7.035821,00:32:20,0
195,5,00:16:30,3.4726,7.492,26,26.6,2055.98,7.1067243,00:32:30,0
196,5,00:16:40,3.4731,7.492,26,26.5,2077.2,7.1804504,00:32:40,0
197,5,00:16:50,3.4737,7.492,26,26.6,2097.19,7.2498693,00:32:50,0
198,5,00:17:00,3.4743,7.492,26,26.6,2118.84,7.3250751,00:33:00,0
199,5,00:17:10,3.4749,7.492,26,26.6,2138.82,7.3944936,00:33:10,0
200,5,00:17:20,3.4755,7.492,26,26.6,2160.06,7.4683208,00:33:20,0
201,5,00:17:30,3.476,7.492,26,26.6,2180.45,7.5391898,00:33:30,0
202,5,00:17:40,3.4767,7.492,26,26.6,2202.1,7.6144533,00:33:40,0
203,5,00:17:50,3.4775,7.492,26.1,26.6,2223.34,7.6883011,00:33:50,0
204,5,00:18:00,3.478,7.492,26.1,26.6,2243.33,7.7578363,00:34:00,0
205,5,00:18:10,3.4788,7.492,26.1,26.6,2264.98,7.8331175,00:34:10,0
206,5,00:18:20,3.4795,7.492,26.1,26.6,2284.96,7.9026604,00:34:20,0
207,5,00:18:30,3.4802,7.492,26.1,26.6,2306.19,7.9765186,00:34:30,0
208,5,00:18:40,3.4809,7.492,26.1,26.6,2326.17,8.0460758,00:34:40,0
209,5,00:18:50,3.4817,7.492,26.1,26.6,2347.84,8.1214952,00:34:50,0
210,5,00:19:00,3.4824,7.492,26.1,26.6,2368.24,8.1925373,00:35:00,0
211,5,00:19:10,3.4833,7.492,26.1,26.6,2389.88,8.2679234,00:35:10,0
212,5,00:19:20,3.484,7.492,26.1,26.6,2409.88,8.3375998,00:35:20,0
213,5,00:19:30,3.485,7.492,26.1,26.6,2431.53,8.4130316,00:35:30,0
214,5,00:19:40,3.486,7.492,26.1,26.6,2451.1,8.481245,00:35:40,0
215,5,00:19:50,3.4869,7.492,26.1,26.6,2473.17,8.5581818,00:35:50,0
216,5,00:20:00,3.4878,7.492,26.1,26.6,2493.57,8.6293325,00:36:00,0
217,5,00:20:10,3.4887,7.492,26.1,26.6,2514.8,8.703393,00:36:10,0
218,5,00:20:20,3.4897,7.492,26.1,26.6,2534.79,8.7731361,00:36:20,0
219,5,00:20:30,3.4909,7.492,26.2,26.7,2556.43,8.8486729,00:36:30,0
220,5,00:20:40,3.492,7.492,26.2,26.7,2576.83,8.9198904,00:36:40,0
221,5,00:20:50,3.4931,7.492,26.2,26.7,2598.06,8.9940414,00:36:50,0
222,5,00:21:00,3.4943,7.492,26.2,26.7,2618.46,9.0653143,00:37:00,0
223,5,00:21:10,3.4955,7.492,26.2,26.7,2639.7,9.139534,00:37:10,0
224,5,00:21:20,3.4967,7.492,26.2,26.7,2659.69,9.2094164,00:37:20,0
225,5,00:21:30,3.4971,7.362,25.7,26.7,2681.27,9.2848825,00:37:30,0
226,5,00:21:40,3.4971,7.326,25.6,26.7,2700.9,9.353528,00:37:40,0
227,5,00:21:50,3.4971,7.248,25.3,26.7,2720.72,9.4228439,00:37:50,0
228,5,00:22:00,3.497,7.169,25.1,26.7,2741.53,9.4956226,00:38:00,0
229,5,00:22:10,3.4971,7.092,24.8,26.7,2760.54,9.5621014,00:38:10,0
230,5,00:22:20,3.4971,7.003,24.5,26.7,2780.5,9.6319027,00:38:20,0
231,5,00:22:30,3.4971,6.924,24.2,26.7,2799.46,9.698204,00:38:30,0
232,5,00:22:40,3.4971,6.844,23.9,26.7,2819.34,9.7677221,00:38:40,0
233,5,00:22:50,3.4971,6.765,23.7,26.8,2837.49,9.8312216,00:38:50,0
234,5,00:23:00,3.4971,6.688,23.4,26.8,2856.54,9.8978167,00:39:00,0
235,5,00:23:10,3.4971,6.606,23.1,26.8,2874.26,9.9597855,00:39:10,0
236,5,00:23:20,3.4971,6.515,22.8,26.8,2893.57,10.0273314,00:39:20,0
237,5,00:23:30,3.4971,6.447,22.5,26.8,2910.49,10.0865088,00:39:30,0
238,5,00:23:40,3.4971,6.358,22.2,26.8,2928.98,10.1511765,00:39:40,0
239,5,00:23:50,3.4971,6.278,22,26.8,2946.88,10.2137632,00:39:50,0
240,5,00:24:00,3.4971,6.199,21.7,26.8,2963.53,10.2720013,00:40:00,0
241,5,00:24:10,3.4971,6.12,21.4,26.7,2980.97,10.3329782,00:40:10,0
242,5,00:24:20,3.4971,6.041,21.1,26.8,2997.17,10.3896284,00:40:20,0
243,5,00:24:30,3.4971,5.961,20.8,26.7,3014.5,10.4502268,00:40:30,0
244,5,00:24:40,3.4971,5.873,20.5,26.8,3031.26,10.5088587,00:40:40,0
245,5,00:24:50,3.497,5.795,20.3,26.8,3047.15,10.564414,00:40:50,0
246,5,00:25:00,3.4971,5.718,20,26.8,3063.46,10.6214437,00:41:00,0
247,5,00:25:10,3.4971,5.644,19.7,26.8,3078.61,10.6744242,00:41:10,0
248,5,00:25:20,3.4971,5.568,19.5,26.8,3094.79,10.7310228,00:41:20,0
249,5,00:25:30,3.4971,5.491,19.2,26.8,3109.22,10.7814741,00:41:30,0
250,5,00:25:40,3.4971,5.418,18.9,26.8,3124.96,10.836524,00:41:40,0
251,5,00:25:50,3.4971,5.333,18.7,26.8,3140.19,10.8897715,00:41:50,0
252,5,00:26:00,3.4971,5.261,18.4,26.8,3154.32,10.9391909,00:42:00,0
253,5,00:26:10,3.4971,5.189,18.1,26.8,3169.41,10.9919586,00:42:10,0
254,5,00:26:20,3.4971,5.117,17.9,26.8,3183.14,11.0399952,00:42:20,0
255,5,00:26:30,3.4971,5.047,17.7,26.8,3197.82,11.0913086,00:42:30,0
256,5,00:26:40,3.4971,4.977,17.4,26.8,3210.9,11.137044,00:42:40,0
257,5,00:26:50,3.4971,4.899,17.1,26.8,3225.16,11.1869259,00:42:50,0
258,5,00:27:00,3.4971,4.84,16.9,26.8,3238.42,11.2332954,00:43:00,0
259,5,00:27:10,3.4971,4.765,16.7,26.8,3252.02,11.2808599,00:43:10,0
260,5,00:27:20,3.4971,4.698,16.4,26.7,3264.64,11.3249903,00:43:20,0
261,5,00:27:30,3.4971,4.635,16.2,26.8,3278.12,11.3721304,00:43:30,0
262,5,00:27:40,3.4971,4.569,16,26.7,3290.39,11.4150486,00:43:40,0
263,5,00:27:50,3.4971,4.508,15.8,26.7,3303.5,11.4608784,00:43:50,0
264,5,00:28:00,3.4971,4.438,15.5,26.7,3316.16,11.5051661,00:44:00,0
265,5,00:28:10,3.4971,4.385,15.3,26.7,3327.93,11.5463209,00:44:10,0
266,5,00:28:20,3.4971,4.317,15.1,26.7,3340.49,11.5902405,00:44:20,0
267,5,00:28:30,3.4971,4.259,14.9,26.7,3351.93,11.6302414,00:44:30,0
268,5,00:28:40,3.4971,4.201,14.7,26.7,3363.9,11.6721106,00:44:40,0
269,5,00:28:50,3.4971,4.143,14.5,26.7,3375.71,11.7134161,00:44:50,0
270,5,00:29:00,3.4971,4.088,14.3,26.7,3386.68,11.7517824,00:45:00,0
271,5,00:29:10,3.4971,4.025,14.1,26.7,3398.39,11.7927208,00:45:10,0
272,5,00:29:20,3.4971,3.978,13.9,26.7,3409.06,11.8300486,00:45:20,0
273,5,00:29:30,3.4971,3.919,13.7,26.7,3420.46,11.8699083,00:45:30,0
274,5,00:29:40,3.4971,3.866,13.5,26.7,3430.87,11.9063215,00:45:40,0
275,5,00:29:50,3.4971,3.815,13.3,26.7,3441.75,11.9443531,00:45:50,0
276,5,00:30:00,3.4971,3.765,13.2,26.7,3451.86,11.9797401,00:46:00,0
277,5,00:30:10,3.4971,3.718,13,26.7,3462.68,12.0175581,00:46:10,0
278,5,00:30:20,3.4971,3.667,12.8,26.7,3472.52,12.0519695,00:46:20,0
279,5,00:30:30,3.4971,3.613,12.6,26.7,3482.83,12.0880461,00:46:30,0
280,5,00:30:40,3.4971,3.567,12.5,26.7,3493.21,12.1243286,00:46:40,0
281,5,00:30:50,3.4971,3.524,12.3,26.7,3502.67,12.1574039,00:46:50,0
282,5,00:31:00,3.4971,3.478,12.2,26.6,3512.78,12.1927557,00:47:00,0
283,5,00:31:10,3.4971,3.433,12,26.6,3522.18,12.2256279,00:47:10,0
284,5,00:31:20,3.4971,3.392,11.9,26.6,3531.47,12.25811,00:47:20,0
285,5,00:31:30,3.4971,3.349,11.7,26.6,3541.01,12.2914753,00:47:30,0
286,5,00:31:40,3.4971,3.308,11.6,26.6,3549.88,12.3225021,00:47:40,0
287,5,00:31:50,3.4971,3.261,11.4,26.6,3559.36,12.3556652,00:47:50,0
288,5,00:32:00,3.4971,3.222,11.3,26.6,3568.54,12.3877745,00:48:00,0
289,5,00:32:10,3.4971,3.182,11.1,26.6,3577.08,12.4176378,00:48:10,0
290,5,00:32:20,3.4971,3.144,11,26.6,3586.04,12.4489737,00:48:20,0
291,5,00:32:30,3.4971,3.107,10.9,26.6,3594.55,12.4787121,00:48:30,0
292,5,00:32:40,3.4972,3.072,10.7,26.6,3602.96,12.5081244,00:48:40,0
293,5,00:32:50,3.4971,3.03,10.6,26.6,3611.76,12.5389204,00:48:50,0
294,5,00:33:00,3.4971,3,10.5,26.6,3619.8,12.5670404,00:49:00,0
295,5,00:33:10,3.4971,2.959,10.3,26.6,3628.41,12.5971279,00:49:10,0
296,5,00:33:20,3.4971,2.926,10.2,26.6,3636.26,12.6245804,00:49:20,0
297,5,00:33:30,3.4971,2.893,10.1,26.5,3644.5,12.6533937,00:49:30,0
298,5,00:33:40,3.4971,2.859,10,26.6,3652.16,12.6802053,00:49:40,0
299,5,00:33:50,3.4972,2.826,9.9,26.5,3660.38,12.7089233,00:49:50,0
300,5,00:34:00,3.4971,2.791,9.8,26.5,3668.33,12.7367563,00:50:00,0
301,5,00:34:10,3.4971,2.766,9.7,26.5,3675.74,12.762661,00:50:10,0
302,5,00:34:20,3.4972,2.731,9.6,26.5,3683.53,12.7898836,00:50:20,0
303,5,00:34:30,3.4971,2.7,9.4,26.5,3691.22,12.816782,00:50:30,0
304,5,00:34:40,3.4971,2.671,9.3,26.5,3698.38,12.8418379,00:50:40,0
305,5,00:34:50,3.4972,2.644,9.2,26.5,3706.05,12.8686657,00:50:50,0
306,5,00:35:00,3.4971,2.616,9.1,26.5,3713.06,12.8931704,00:51:00,0
307,5,00:35:10,3.4971,2.585,9,26.5,3720.42,12.9188995,00:51:10,0
308,5,00:35:20,3.4971,2.556,8.9,26.4,3727.7,12.9443741,00:51:20,0
309,5,00:35:30,3.4972,2.529,8.8,26.4,3734.49,12.9680986,00:51:30,0
310,5,00:35:40,3.4971,2.504,8.8,26.5,3741.75,12.9935131,00:51:40,0
311,5,00:35:50,3.4971,2.475,8.7,26.4,3748.4,13.0167427,00:51:50,0
312,5,00:36:00,3.4971,2.452,8.6,26.4,3755.38,13.041153,00:52:00,0
